Topic 0,Topic 1
0.37344936,0.6265507
0.09001487,0.9099851
0.32771197,0.67228806
0.107037485,0.89296246
0.9393266,0.06067339
0.89755845,0.10244151
0.031229703,0.9687703
0.5,0.5
0.014791583,0.9852084
0.25872493,0.7412751
0.939324,0.060675986
0.017562082,0.9824379
0.048779845,0.95122015
0.019290369,0.9807097
0.02615003,0.9738499
0.012339021,0.987661
0.03235905,0.967641
0.9393236,0.060676422
0.012434793,0.9875652
0.26900247,0.7309975
0.09718264,0.90281737
0.039909743,0.9600902
0.56165487,0.43834516
0.05603275,0.9439672
0.012229509,0.9877705
0.2736267,0.7263733
0.93932575,0.060674302
0.022636903,0.97736305
0.25380343,0.74619657
0.01647767,0.98352236
0.05877692,0.9412231
0.35524315,0.64475685
0.7671544,0.23284559
0.012147841,0.98785216
0.9686002,0.031399816
0.055517267,0.94448274
0.8099247,0.19007526
0.08890305,0.91109693
0.4293608,0.5706392
0.015815051,0.984185
0.93932533,0.060674727
0.5734779,0.42652205
0.92233574,0.07766426
0.011890153,0.9881098
0.04368283,0.9563172
0.4395391,0.5604609
0.09994708,0.90005296
0.013218273,0.9867818
0.08476756,0.9152324
0.021001292,0.9789987
0.02844989,0.9715501
0.9393264,0.060673635
0.7146414,0.2853586
0.048265424,0.9517346
0.51809764,0.4819024
0.10645808,0.89354193
0.51276046,0.48723963
0.01916237,0.9808376
0.011948533,0.9880515
0.17692228,0.82307774
0.25368556,0.7463144
0.13441417,0.86558586
0.4639604,0.53603953
0.93932503,0.06067504
0.012947925,0.987052
0.11760738,0.88239264
0.95994705,0.04005293
0.97361755,0.026382467
0.09024442,0.9097556
0.2932935,0.70670646
0.92235386,0.07764616
0.517099,0.482901
0.022917442,0.97708255
0.027036399,0.97296363
0.97089744,0.029102594
0.9599405,0.04005953
0.023606297,0.97639376
0.9599264,0.040073566
0.5,0.5
0.93932533,0.06067465
0.3832574,0.61674255
0.714656,0.285344
0.970917,0.029082993
0.23793843,0.7620616
0.67441076,0.3255892
0.80979997,0.19020006
0.040815495,0.9591845
0.5537457,0.44625425
0.08992464,0.91007537
0.074141495,0.9258585
0.89472085,0.1052792
0.019026231,0.9809738
0.018968433,0.9810316
0.01675901,0.983241
0.04456346,0.9554365
0.020359786,0.9796402
0.019312132,0.98068786
0.05071469,0.9492853
0.015321181,0.9846788
0.04102505,0.95897496
0.013208681,0.9867913
0.939323,0.060676973
0.049474485,0.95052546
0.33637616,0.66362387
0.8010842,0.19891575
0.06038396,0.939616
0.1769228,0.8230772
0.17695087,0.8230492
0.02807,0.97193
