Topic 0,Topic 1
0.9513851,0.04861498
0.66217285,0.33782712
0.9513808,0.048619207
0.98114324,0.018856801
0.5923317,0.40766826
0.744104,0.25589594
0.62687063,0.3731294
0.33939475,0.6606052
0.9750088,0.02499125
0.9792461,0.02075392
0.889384,0.11061607
0.0985575,0.9014425
0.9791856,0.020814408
0.9791669,0.02083309
0.5327665,0.46723345
0.8627626,0.13723738
0.91661745,0.08338255
0.97959095,0.020409042
0.5,0.5
0.9803893,0.019610671
0.89932346,0.10067655
0.3552843,0.64471567
0.6055686,0.3944314
0.97170436,0.02829564
0.6988404,0.30115962
0.050730113,0.9492699
0.96705675,0.032943252
0.21882893,0.7811711
0.919299,0.080700964
0.3554649,0.6445351
0.8622287,0.13777125
0.9737346,0.026265392
0.9600321,0.03996787
0.91661745,0.08338255
0.97623897,0.023761047
0.028664531,0.9713355
0.7959614,0.20403866
0.02489515,0.97510487
0.9718627,0.028137347
0.036711898,0.9632881
0.8523022,0.14769778
0.9523382,0.047661792
0.4491109,0.5508892
0.07563771,0.9243623
0.080314085,0.9196859
0.95053244,0.04946756
0.95718867,0.042811338
0.94922715,0.050772827
0.9156146,0.0843854
0.4895186,0.5104813
0.91344464,0.086555324
0.93973255,0.06026745
0.9402132,0.059786744
0.17113987,0.82886016
0.07739932,0.9226007
0.34365427,0.6563457
0.29704523,0.70295477
0.92281145,0.07718856
0.28150326,0.71849674
0.91661745,0.08338255
0.97327787,0.026722107
0.9390759,0.060924087
0.9667618,0.033238202
0.5506072,0.44939286
0.9739303,0.02606971
0.98158216,0.018417884
0.925104,0.07489598
0.2393452,0.7606548
0.97607934,0.02392064
0.7201946,0.2798054
0.6340982,0.36590186
0.7749531,0.22504689
0.91661745,0.08338255
0.65546626,0.34453377
0.9768784,0.023121579
0.39647752,0.6035224
0.7336748,0.26632518
0.9680031,0.03199697
0.6290887,0.3709113
0.9471063,0.05289371
0.8505759,0.14942405
0.9477343,0.052265678
0.96245146,0.037548542
0.97777516,0.022224806
0.56891185,0.4310882
0.97422314,0.025776895
0.7585887,0.24141133
