Topic 0,Topic 1,label
0.03527102,0.96472895,negative
0.043557312,0.95644265,neutral
0.012165004,0.98783493,positive
0.30939898,0.690601,positive
0.025318982,0.974681,negative
0.4822174,0.5177826,neutral
0.01861509,0.98138493,positive
0.11225638,0.8877436,negative
0.20099746,0.7990026,positive
0.063113585,0.9368864,positive
0.78693724,0.21306273,positive
0.04340792,0.9565921,neutral
0.015887687,0.98411226,positive
0.6114774,0.38852262,neutral
0.15380715,0.84619284,neutral
0.49694613,0.5030539,negative
0.5,0.5,neutral
0.016896976,0.98310304,neutral
0.039775714,0.9602243,neutral
0.06022403,0.939776,negative
0.5,0.5,neutral
0.16956757,0.8304324,neutral
0.07144236,0.92855763,neutral
0.032959905,0.9670401,neutral
0.10984678,0.89015317,neutral
0.20005275,0.79994726,positive
0.8576742,0.14232576,neutral
0.30064625,0.69935375,neutral
0.59128577,0.40871426,neutral
0.05026945,0.9497305,positive
0.6947339,0.30526608,neutral
0.016608262,0.9833917,positive
0.17338833,0.8266117,negative
0.043049466,0.95695055,positive
0.5,0.5,neutral
0.03563597,0.96436405,neutral
0.36928013,0.6307199,negative
0.058634225,0.9413658,positive
0.69150156,0.30849838,positive
0.043955,0.95604503,neutral
0.03895347,0.9610466,neutral
0.03713267,0.9628674,positive
0.021489507,0.9785105,positive
0.9113287,0.08867134,neutral
0.32378668,0.6762133,neutral
0.01617213,0.9838279,negative
0.023212882,0.97678715,positive
0.15811275,0.84188724,positive
0.5219765,0.47802347,neutral
0.22068752,0.7793125,neutral
0.05124112,0.94875884,neutral
0.015078596,0.98492146,positive
0.05464504,0.94535494,positive
0.63848025,0.36151975,negative
0.028142206,0.97185785,neutral
0.035077482,0.9649225,neutral
0.07030272,0.9296973,neutral
0.027489016,0.972511,positive
0.03907481,0.9609252,neutral
0.103015736,0.8969842,positive
0.023717761,0.97628224,negative
0.029035669,0.9709643,negative
0.03554883,0.96445113,positive
0.21587892,0.7841211,negative
0.34033406,0.659666,negative
0.038310483,0.96168953,neutral
0.040189486,0.9598105,positive
0.02380526,0.97619474,positive
0.9393249,0.06067506,neutral
0.020380115,0.97961986,neutral
0.38987917,0.6101208,neutral
0.62855804,0.37144196,positive
0.014779755,0.98522025,positive
0.97593015,0.024069872,neutral
0.91981244,0.08018755,neutral
0.017741771,0.98225826,positive
0.043008137,0.95699185,neutral
0.013778113,0.9862219,neutral
0.033864122,0.96613586,neutral
0.014060071,0.9859399,positive
0.051475182,0.94852483,negative
0.032770574,0.9672295,neutral
0.13155496,0.868445,neutral
0.638971,0.361029,positive
0.9024008,0.09759922,neutral
0.43651927,0.56348073,neutral
0.08103076,0.9189693,neutral
0.5,0.5,neutral
0.15274245,0.84725755,positive
0.034016818,0.96598315,positive
0.012514356,0.9874856,positive
0.9772012,0.022798786,neutral
0.17793168,0.82206833,negative
0.9709184,0.029081628,positive
